2024-06-10T21:06:10.260-0400 [INFO]  provider: configuring client automatic mTLS
2024-06-10T21:06:10.419-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: tf_provider_addr=registry.terraform.io/hashicorp/aws tf_resource_type=aws_vpc_endpoint_service tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 @module=sdk.helper_schema tf_mux_provider="*schema.GRPCProviderServer" tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 timestamp=2024-06-10T21:06:10.419-0400
2024-06-10T21:06:10.419-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: @module=sdk.helper_schema tf_mux_provider="*schema.GRPCProviderServer" tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_resource_type=aws_vpc_peering_connection @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 tf_rpc=GetProviderSchema timestamp=2024-06-10T21:06:10.419-0400
2024-06-10T21:06:10.419-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 tf_mux_provider="*schema.GRPCProviderServer" tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_resource_type=aws_eks_access_entry @module=sdk.helper_schema tf_rpc=GetProviderSchema timestamp=2024-06-10T21:06:10.419-0400
2024-06-10T21:06:10.419-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: tf_resource_type=aws_networkmanager_device tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 @module=sdk.helper_schema tf_mux_provider="*schema.GRPCProviderServer" tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 timestamp=2024-06-10T21:06:10.419-0400
2024-06-10T21:06:10.419-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: tf_rpc=GetProviderSchema tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_resource_type=aws_verifiedaccess_instance_trust_provider_attachment tf_provider_addr=registry.terraform.io/hashicorp/aws @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 @module=sdk.helper_schema tf_mux_provider="*schema.GRPCProviderServer" timestamp=2024-06-10T21:06:10.419-0400
2024-06-10T21:06:10.419-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 @module=sdk.helper_schema tf_mux_provider="*schema.GRPCProviderServer" tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_resource_type=aws_docdb_cluster tf_rpc=GetProviderSchema timestamp=2024-06-10T21:06:10.419-0400
2024-06-10T21:06:10.419-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: tf_rpc=GetProviderSchema tf_mux_provider="*schema.GRPCProviderServer" tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_resource_type=aws_iot_thing_type tf_provider_addr=registry.terraform.io/hashicorp/aws @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 @module=sdk.helper_schema timestamp=2024-06-10T21:06:10.419-0400
2024-06-10T21:06:10.419-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: @module=sdk.helper_schema tf_mux_provider="*schema.GRPCProviderServer" tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_resource_type=aws_medialive_channel tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 timestamp=2024-06-10T21:06:10.419-0400
2024-06-10T21:06:10.420-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 tf_resource_type=aws_scheduler_schedule_group tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 @module=sdk.helper_schema tf_provider_addr=registry.terraform.io/hashicorp/aws tf_mux_provider="*schema.GRPCProviderServer" timestamp=2024-06-10T21:06:10.420-0400
2024-06-10T21:06:10.420-0400 [TRACE] provider.terraform-provider-aws_v5.44.0_x5: Found resource type: tf_resource_type=aws_waf_web_acl tf_rpc=GetProviderSchema @caller=github.com/hashicorp/terraform-plugin-sdk/v2@v2.33.0/helper/schema/grpc_provider.go:128 tf_provider_addr=registry.terraform.io/hashicorp/aws tf_req_id=deab7034-795e-6a81-afd3-b9591f4630e9 @module=sdk.helper_schema tf_mux_provider="*schema.GRPCProviderServer" timestamp=2024-06-10T21:06:10.420-0400
